C1M1,C2M1,C3M1,C1M2,C2M2,C3M2,C1M3,C2M3,C3M3,C1M4,C2M4,C3M4,C1M5,C2M5,C3M5,C1M6,C2M6,C3M6
1.74053645796015,1.7897083604094,1.79576041402566,1.39633724759279,1.44008237135256,1.60097155428153,1.59381054694705,1.53346908555233,1.41897624290499,1.73476505197675,1.37946690100773,1.62819377403625,1.40685990960601,1.44767842499703,1.53390947325416,1.45687123733179,1.54369784090578,1.39448285844399
1.87092485227351,1.72612214824235,1.48669450069536,1.63459717660832,1.42190328075439,1.35462119475575,1.51229077097683,1.6168185485777,1.2903360066652,1.4825385999549,1.7467913147242,1.4707828453218,1.56251550212551,1.34642399849286,1.40006952406865,1.51107643361726,1.51920311064998,1.6509759856479
1.89059659457434,1.79515763930215,1.79571856786916,1.54785755481357,1.35729727577754,1.59060983908999,1.45219043903568,1.52679223232157,1.65335326892947,1.61301330936358,1.62637998151497,1.56451582557377,1.53950681961713,1.50968791873535,1.61199297350505,1.44632928161869,1.41647754180865,1.48552011910698
1.71490066433397,1.81560843626529,1.82882715289057,1.37576470414491,1.46861864194767,1.27695782321557,1.69933532029655,1.54585601400575,1.53389894131771,1.48568356818848,1.71013738175785,1.61209278935979,1.48282705948341,1.29022832439792,1.49893785862074,1.51944275014649,1.58197440176573,1.63797023585398
1.71808468490634,1.78195680307655,1.6348119965135,1.48321789229845,1.41182060538973,1.28792294151558,1.53216922999723,1.53602760033063,1.50566649568042,1.63141160884344,1.61974639486394,1.50119607406476,1.45022112731316,1.31817340332468,1.42733647411713,1.47129052800999,1.27521074971164,1.41606175536104
1.38799831559752,1.60009515818685,1.62094251063394,1.27501558863193,1.44964648141581,1.25887962053702,1.59006530556173,1.48498034937376,1.50289666692337,1.72467352711748,1.64481981122749,1.7138155166326,1.89551630660633,1.52335133976192,1.78115616790983,1.71236384951769,1.56282602064687,1.58359728359179
1.46792412845484,1.49736852321289,1.65423740042966,1.52259764499112,1.43948565547448,1.47385741992772,1.52549144019476,1.63724212695803,1.38844017012342,1.69820780922161,1.73803688824745,1.60919603536848,1.53958865734543,1.69772241819098,1.73597889311503,1.62101070501593,1.93248884407262,1.71192201131897
1.72209979926772,1.63331884097663,1.46885116112356,1.55648987361998,1.47460184106674,1.29325016184865,1.62723200197664,1.35229334784806,1.34278372035424,1.69265625966541,1.70071657749274,1.68077218633038,1.92434138046282,1.50945046441709,1.72280441595738,1.75482499624566,1.61034239917175,1.58048449659338
1.85284552928688,1.66328566841239,1.67884709341413,1.38783890256021,1.22790427868003,1.40690249957684,1.36523226689194,1.35832894898603,1.52600392010023,1.50926246985554,1.57072062222412,1.59616611904234,1.61515580441597,1.58959492984381,1.56197582901907,1.58598640026413,1.70668031755757,1.66701547424048
1.64787467874272,1.48918948471392,1.61085212230526,1.12586944406671,1.56964535347334,1.65112305574482,1.55175626607658,1.55494370751068,1.5699220435463,1.72568745062603,1.47715824081395,2.10120226552284,1.42956540451872,1.58315834717489,1.65482982866087,1.44360686149393,1.70749168260899,1.82421261224805
1.65410517540324,1.70186859249836,1.85550645039499,1.61000310652858,1.69257722740347,1.50631271014348,1.48519863604068,1.57247034759651,1.35002037353019,1.66170364172922,1.794599961361,1.45664456908882,1.90257025676323,1.6439935556502,1.59841103842433,2.01588006954722,1.84498855436015,1.71753979525615
1.64675193276875,1.55511986126757,1.37164433657487,1.36678692434083,1.8347632000822,1.16410024838579,1.14975076493477,1.31108774093547,1.20251084788813,1.6182482220383,1.56470683138868,1.68263570797272,1.35985959629624,1.67738282304369,1.57666680960524,1.215719168793,1.74087900240612,1.67626913179439
